number,value,datetime_start,datetime_complete,duration,params_base_model,params_batch_size,params_l2_reg,params_learning_rate,params_optimizer_str,state
32,0.04476690262792602,2024-12-01 01:54:14.405207,2024-12-01 02:10:16.983734,0 days 00:16:02.578527,t5-base,16,2.427811053175734e-10,0.00044037158784774856,AdamW,COMPLETE
33,0.07037649894990618,2024-12-01 02:10:16.984016,2024-12-01 02:25:16.661703,0 days 00:14:59.677687,t5-base,16,9.538663415655366e-08,0.0006897734384528493,SGD,COMPLETE
34,0.04434269436058544,2024-12-01 02:25:16.662008,2024-12-01 02:41:19.822282,0 days 00:16:03.160274,t5-base,16,2.1921999128460563e-15,0.0001894711632200217,AdamW,COMPLETE
35,0.28457536087149665,2024-12-01 02:41:19.822578,2024-12-01 02:46:09.447396,0 days 00:04:49.624818,t5-small,16,5.803499142506576e-11,6.162646654138191e-05,SGD,COMPLETE
36,0.05737199282480611,2024-12-01 02:46:09.447661,2024-12-01 03:02:14.031477,0 days 00:16:04.583816,t5-base,16,2.052695897673386e-14,2.850252606099081e-06,AdamW,COMPLETE
37,0.046154951972384305,2024-12-01 03:02:14.031757,2024-12-01 03:18:17.064537,0 days 00:16:03.032780,t5-base,16,3.2817763836738635e-08,0.0005492694724191372,AdamW,COMPLETE
38,9.87518185377121,2024-12-01 03:18:17.064829,2024-12-01 03:22:48.854803,0 days 00:04:31.789974,t5-small,32,1.3101396187421207e-12,2.53487451475079e-08,AdamW,COMPLETE
39,0.04673183617729043,2024-12-01 03:22:48.855104,2024-12-01 03:38:53.171647,0 days 00:16:04.316543,t5-base,16,2.9647247397775843e-12,1.0436224435230201e-05,AdamW,COMPLETE
40,7.447633395119319,2024-12-01 03:38:53.171940,2024-12-01 03:43:42.620148,0 days 00:04:49.448208,t5-small,16,2.1682425774329896e-13,2.393385438449009e-06,SGD,COMPLETE
41,0.04421530853188227,2024-12-01 03:43:42.620404,2024-12-01 03:59:46.182842,0 days 00:16:03.562438,t5-base,16,3.46892370836514e-10,7.571339752854089e-05,AdamW,COMPLETE
42,0.045003231585262315,2024-12-01 03:59:46.183127,2024-12-01 04:15:49.788877,0 days 00:16:03.605750,t5-base,16,1.2562873321451445e-11,3.525569061055952e-05,AdamW,COMPLETE
43,0.04380996327196795,2024-12-01 04:15:49.789163,2024-12-01 04:31:52.767405,0 days 00:16:02.978242,t5-base,16,5.4457829040796595e-12,0.00021073155810073243,AdamW,COMPLETE
44,0.3124830713495612,2024-12-01 04:31:52.767704,2024-12-01 04:45:27.933419,0 days 00:13:35.165715,t5-base,32,5.471478493978391e-11,3.4283385480207356e-07,AdamW,COMPLETE
45,0.04353377923724197,2024-12-01 04:45:27.933699,2024-12-01 05:01:31.485694,0 days 00:16:03.551995,t5-base,16,2.64454805157695e-13,0.00011040259645574596,AdamW,COMPLETE
46,0.043701582869130465,2024-12-01 05:01:31.485991,2024-12-01 05:17:34.332656,0 days 00:16:02.846665,t5-base,16,2.4253508327362307e-14,0.00031998951585383005,AdamW,COMPLETE
47,0.04494393888920072,2024-12-01 05:17:34.333011,2024-12-01 05:33:37.579136,0 days 00:16:03.246125,t5-base,16,1.668653888844071e-13,3.3995720395379576e-05,AdamW,COMPLETE
48,0.04624392359983176,2024-12-01 05:33:37.579429,2024-12-01 05:47:12.744578,0 days 00:13:35.165149,t5-base,32,5.858953924682244e-13,2.2067339390626674e-05,AdamW,COMPLETE
49,0.09706181015760179,2024-12-01 05:47:12.744863,2024-12-01 05:52:02.554228,0 days 00:04:49.809365,t5-small,16,8.102998464247504e-15,0.0005276689794114619,SGD,COMPLETE
